,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Parent Category Code (optional),,,,,
AROS,,,,,
BOTADORES,,,,,
COJINETES,,,,,
CORREAS,,,,,
ENGRANAJES,,,,,
JUNTAS,,,,,
ANTECUERPO,,,,,
ARBOL AUXILIAR,,,,,
ARBOL DE LEVAS,,,,,
ARO RECTIFICACION,,,,,
ARO SEMI HIDRAULICO,,,,,
AROS HIDRAULICOS,,,,,
AXIAL,,,,,
BALANCINES DE VALVULA,,,,,
BANCADA ARBOL DE LEVAS,,,,,
BIELA,,,,,
BLOCK,,,,,
BOMBA DE ACEITE,,,,,
BOMBA DE AGUA,,,,,
BOTADOR VALVULA,,,,,
BOTADORES HIDRAULICOS,,,,,
BUJE DE LEVAS,,,,,
BULONES DE TAPA,,,,,
CADENA BOMBA ACEITE,,,,,
CAMISA,,,,,
CIGUEÃ‘AL,,,,,
COJINETE ARBOL DE LEVAS,,,,,
COJINETE DE BANCADA,,,,,
COJINETE DE BIELA,,,,,
CONJUNTO,,,,,
CORREA DE DISTRIBUCION,,,,,
CORREA POLI V,,,,,
CUNA / CABALLETE DE ARBOL LEVAS,,,,,
ENGRANAJE ARBOL AUXILIAR,,,,,
ENGRANAJE DE CIGUEÃ‘AL,,,,,
FILTRO DE ACEITE,,,,,
INYECTOR,,,,,
JUEGO DE JUNTAS COMPLETO,,,,,
JUNTA ADMISION Y ESCAPE,,,,,
JUNTA CARTER,,,,,
JUNTA DESCARBONIZACION,,,,,
JUNTA TAPA CILINDROS,,,,,
JUNTA TAPA DE VALVULA,,,,,
JUNTAS,,,,,
KIT DE DISTRIBUCION,,,,,
KIT DE RESORTES,,,,,
KIT DE RETENES,,,,,
KIT POLI V,,,,,
MOTOR COMPLETO,,,,,
RESORTES DE VALVULAS,,,,,
RETEN ARBOL DE LEVAS,,,,,
RETEN BANCADA C/ PORTA RETEN,,,,,
RETEN DE BANCADA,,,,,
RETEN DE DISTRIBUCION,,,,,
RETEN DE VALVULA,,,,,
RETENES,,,,,
SELLADORES,,,,,
SENSOR,,,,,
SENSOR DE DETONACION,,,,,
SENSOR DE VELOCIDAD,,,,,
SUBCONJUNTO,,,,,
TAPAS DE CILINDROS,,,,,
TERMOSTATO,,,,,
TERMOSTATO DE CARCAZA,,,,,
VALVULAS,,,,,
VARILLA LEVANTA VALVULAS,,,,,
VARIOS,,,,,
RETEN ARBOL DE LEVAS,,,,,
RETEN BANCADA C/ PORTA RETEN,,,,,
RETEN DE BANCADA,,,,,
RETEN DE DISTRIBUCION,,,,,
RETEN DE VALVULA,,,,,
RETEN DISTRIBUCION C/ PORTA RETEN,,,,,
RETENES,,,,,
SELLADORES,,,,,
TERMOSTATO,,,,,
TERMOSTATO DE CARCAZA,,,,,
